No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
260,6111,4,4,2,1,3,3,4,2,4,4,1,1,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,3,3,5,5,5,4,4,3,4,5,3.1,1.8,1,4.37,3.01
261,6112,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,1,1,1,2,1,3,1,2,1,1,1,4,4,4,4,4,4,3,3,4,4,5,2,3,5,5,5,3,2.7,1.36,3.95,3.09
262,6113,4,3,4,3,3,3,3,3,3,3,3,3,2,2,1,3,3,2,2,3,3,2,3,1,2,2,1,2,3,2,2,4,4,4,4,4,4,3,3,4,4,4,2,3,5,4,4,3.2,2.4,2.09,3.75,3.07
263,6114,4,2,4,3,3,3,3,1,3,3,3,3,3,3,1,4,4,3,3,4,4,3,3,4,2,3,1,3,3,3,2,4,4,4,4,4,3,3,3,3,3,4,4,5,4,5,5,2.9,3.1,2.82,3.9,3.39
264,6115,4,4,4,4,4,4,4,4,4,5,5,4,3,3,3,3,3,3,5,2,3,3,2,3,2,2,2,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4.1,3.4,2.64,3.75,3.53
265,6116,5,5,3,2,2,3,3,3,3,3,5,3,2,2,3,4,2,1,2,3,1,3,2,1,2,1,1,1,2,2,1,4,4,3,4,4,3,2,2,2,3,5,3,4,3,5,3,3.2,2.7,1.55,3.39,2.89
266,6117,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,4,3,2,3,3,3,2,2,2,1,2,1,2,1,1,1,4,4,3,4,5,5,5,5,3,4,5,3,2,5,5,5,3.2,2.9,1.64,4.19,3.32
267,6118,5,5,5,5,4,5,5,5,5,5,4,3,2,2,3,3,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,5,5,5,4,4,4,3,2,3,4,5,4,5,4,5,5,4.9,2.8,1.73,4.2,3.53
268,6171,5,5,5,4,4,4,4,4,5,5,4,4,3,4,4,4,3,3,5,4,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,5,4,4,3,4,5,4,4,4,5,5,5,4.5,3.8,3.09,4.26,3.98
269,6172,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3.7,3.4,2.91,4.2,3.72
270,6173,2,2,3,3,2,2,3,3,3,3,3,3,1,2,3,2,2,3,3,3,1,2,4,3,3,2,2,2,1,1,1,4,4,4,4,3,4,3,2,3,3,4,4,4,4,5,4,2.6,2.5,2,3.7,2.98
271,6174,5,3,4,4,4,4,4,4,4,5,3,2,2,3,4,4,4,4,5,3,3,3,3,3,3,3,3,3,2,2,3,4,4,4,4,5,4,3,2,3,5,4,4,2,3,5,4,4.1,3.4,2.82,3.75,3.55
272,6175,2,3,3,4,4,4,4,3,3,3,2,3,3,2,1,3,3,3,2,2,2,2,1,1,2,1,1,1,1,1,1,4,4,4,4,4,3,1,3,4,4,4,4,5,5,5,4,3.3,2.4,1.27,3.9,3.01
273,6176,5,5,5,5,5,5,5,5,5,3,2,3,5,3,3,5,4,5,5,3,2,3,4,1,3,1,1,2,2,2,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,4.8,3.8,2.18,3.88,3.7
274,6177,4,4,4,5,4,4,4,4,4,4,4,4,3,3,5,5,5,4,4,3,3,4,5,3,4,2,2,3,2,2,3,5,5,5,4,5,4,4,3,3,4,4,4,5,5,5,5,4.1,4,3,4.38,4.02
275,6178,5,5,5,3,3,5,4,4,4,4,3,3,2,3,3,3,3,2,2,3,2,2,3,3,2,2,2,2,1,1,3,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,3,4.2,2.7,2.09,3.69,3.25
276,6179,3,3,3,3,3,3,3,3,3,5,1,1,1,3,4,4,2,3,3,2,1,1,1,1,1,1,1,1,3,3,1,4,4,4,4,5,4,3,3,4,4,4,4,4,5,4,2,3.2,2.4,1.36,3.87,3
277,6200,4,4,4,1,2,2,2,3,3,5,3,3,2,3,3,4,3,2,5,3,3,3,3,2,2,2,1,3,2,2,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,5,5,3,3.1,2.45,4,3.39
278,6201,4,5,5,5,5,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,2,4,3,1,2,1,1,1,1,1,2,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,4.2,3.1,1.73,3.57,3.23
279,6202,3,3,2,2,3,3,3,3,3,4,3,3,3,3,1,3,2,1,2,2,3,3,2,3,3,2,2,2,1,3,4,4,4,4,4,4,4,4,3,3,4,4,1,4,5,5,5,2.9,2.3,2.55,3.88,3.14
280,6203,5,5,5,5,5,5,5,5,5,5,3,3,3,3,1,3,3,3,3,3,2,1,1,1,2,3,2,2,2,2,2,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,5,2.8,1.82,3.45,3.22
281,6204,3,4,4,3,4,4,4,3,3,4,3,3,2,3,3,3,3,3,4,3,3,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,4,4,4,5,5,5,3.6,3,2.27,3.9,3.37
282,6271,3,3,4,2,3,3,3,2,1,3,3,3,1,4,1,3,3,3,3,3,3,2,2,1,2,2,1,1,3,3,1,4,4,4,4,4,4,2,1,3,3,4,3,4,3,5,5,2.7,2.7,1.91,3.58,2.97
283,6272,3,3,4,1,3,3,2,3,3,4,3,3,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,4,4,4,4,3,4,3,2,4,1,4,1,2,2,2,3,2.9,1.6,1.18,2.92,2.3
284,6273,1,1,4,1,3,3,3,2,1,3,2,2,1,1,1,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,3,4,3,4,4,5,4,2.2,1.8,1.09,3.7,2.6
285,6274,1,1,3,3,2,2,2,4,3,4,1,1,4,3,5,4,4,3,4,4,1,2,1,2,2,1,1,2,1,1,1,4,4,4,4,5,3,3,2,3,3,4,4,5,5,5,5,2.5,3.3,1.36,3.96,3.18
286,6300,5,5,5,5,5,4,5,5,4,5,4,5,4,4,5,4,4,4,4,4,3,3,4,4,2,5,3,3,3,3,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,5,4.8,4.2,3.36,4.38,4.22
287,6301,4,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,5,3,3,2,3,2,3,3,2,3,3,3,4,4,3,4,3,3,3,3,3,4,4,5,5,5,5,5,4.9,3.3,2.73,3.97,3.72
288,6302,5,5,5,4,5,4,4,5,4,5,3,3,5,4,2,5,4,5,5,5,3,3,3,4,5,2,3,3,3,3,3,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4.6,4.1,3.18,4.7,4.29
289,6303,3,3,4,4,3,3,3,2,3,3,2,2,1,2,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,2,3,3,5,3,4,5,5,5,3.1,1.9,1,3.96,2.84
290,6304,5,5,5,3,3,5,5,3,3,5,3,3,5,2,5,5,5,5,5,5,4,5,5,3,3,3,3,4,3,3,3,4,4,4,4,5,5,5,3,3,4,4,4,4,5,5,3,4.2,4.3,3.55,4.13,4.08
291,6371,2,2,3,3,2,2,2,2,2,3,2,2,2,2,4,1,3,3,3,3,3,3,2,3,2,3,3,3,1,3,3,4,4,4,4,5,4,5,5,5,5,5,4,4,4,5,5,2.3,2.5,2.64,4.5,3.41
292,6400,5,5,5,5,3,5,5,5,5,5,4,4,4,1,5,5,5,4,4,3,4,5,4,3,3,3,3,3,3,3,3,5,5,5,4,4,4,5,5,4,5,5,3,5,5,5,5,4.8,3.9,3.36,4.63,4.26
293,6401,3,5,5,5,5,5,5,5,5,5,3,3,1,2,3,3,4,2,3,3,2,2,3,3,2,2,1,2,1,1,2,4,4,4,4,5,4,3,3,3,3,4,4,2,5,3,3,4.8,2.7,1.91,3.62,3.26
294,6402,3,3,3,2,3,3,3,2,3,3,2,2,2,3,1,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,2.8,2.2,2.18,3.69,2.95
295,6403,3,5,5,3,3,5,3,3,3,3,3,3,5,5,1,3,3,3,3,3,4,3,2,3,3,2,2,3,3,3,3,4,4,4,4,5,4,3,4,3,4,4,4,4,5,5,5,3.6,3.2,2.82,4.14,3.62
296,6404,2,2,4,3,4,4,2,2,1,3,2,2,4,4,4,4,3,3,4,4,1,3,1,1,2,1,1,1,2,2,2,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,5,2.7,3.4,1.55,4.2,3.37
297,6405,3,2,3,2,1,3,3,3,3,3,1,3,4,2,2,2,3,2,2,2,1,3,2,2,2,2,2,1,1,1,1,4,4,3,4,4,4,4,4,3,3,4,3,4,4,4,3,2.6,2.3,1.64,3.69,2.86
298,6406,3,3,5,2,2,3,2,3,5,2,3,3,3,2,4,4,3,2,3,2,2,2,2,2,2,1,1,1,2,2,2,5,5,5,5,5,5,4,5,3,5,4,4,5,5,5,5,3,2.9,1.73,4.69,3.53
299,6407,4,5,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2,2,3,1,2,2,1,1,1,2,2,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3.3,2.5,1.73,3.81,3.07
300,6408,2,2,3,2,3,3,3,3,3,3,1,1,1,4,1,2,1,2,3,3,3,1,3,1,1,1,2,1,1,1,1,5,4,3,4,4,4,4,2,3,4,4,4,4,5,4,4,2.7,1.9,1.45,3.88,2.83
301,6409,5,3,5,5,5,5,5,5,3,5,5,2,5,5,3,5,5,3,4,3,2,2,2,2,2,2,2,2,1,2,2,4,4,3,5,4,4,3,3,5,3,3,3,5,5,5,5,4.6,4,1.91,4.01,3.74
302,6410,4,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,5,4,4,4,5,5,5,3,5,5,5,5,5,4,4,5,4.6,4.4,2.73,4.57,4.23
303,6411,1,1,3,1,3,3,1,2,2,3,3,2,2,1,1,2,3,2,2,1,2,3,3,2,2,2,2,2,1,1,1,4,4,5,5,5,3,3,3,3,3,3,5,5,5,5,5,2,1.9,1.91,4.14,2.94
304,6412,3,3,4,4,4,4,4,5,4,4,3,3,3,3,4,4,3,3,4,4,3,3,4,3,3,4,2,2,2,2,2,4,4,4,4,4,4,3,3,4,4,5,4,4,5,4,4,3.9,3.4,2.73,4.01,3.63
305,6413,5,5,5,3,5,5,4,5,5,3,4,3,3,3,1,5,3,4,2,3,2,2,2,3,3,1,1,3,3,3,3,4,4,4,4,4,4,3,3,3,5,4,5,4,5,5,5,4.5,3.1,2.36,4.14,3.64
306,6414,4,3,3,4,3,4,3,4,4,4,3,3,2,3,1,3,2,2,3,1,2,2,3,3,2,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,5,4,3,5,5,5,5,3.6,2.3,1.73,4.26,3.27
307,6415,5,3,5,3,5,5,3,3,5,5,3,3,2,5,3,3,3,2,2,3,4,1,3,1,2,1,1,2,1,1,3,4,4,4,4,4,4,4,4,4,3,4,4,2,5,5,5,4.2,2.9,1.82,4.01,3.39
308,6416,4,4,2,4,5,4,4,4,4,5,3,3,2,3,4,4,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,4,4,3,5,4,4,3,3,4,5,4,3,4,5,5,5,4,3.1,1.91,4.07,3.46
309,6417,5,4,3,5,5,5,3,2,4,4,4,5,4,2,5,3,3,2,5,5,3,4,5,3,2,2,3,4,1,5,2,4,4,4,4,3,4,3,4,4,5,3,4,4,5,5,5,4,3.8,3.09,4.07,3.83
310,6418,3,3,5,5,5,5,4,4,5,5,4,3,2,3,1,2,2,2,5,3,1,3,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,3,1,3,4,5,4,4,5,4,4,4.4,2.7,1.18,4.07,3.29
311,6419,3,3,4,3,3,3,3,3,3,3,1,2,3,1,1,5,5,2,2,4,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,2,3,4,4,5,5,3,5,4,3.1,2.6,1.18,4.13,3.13
312,6420,3,3,4,3,4,3,3,3,3,4,3,2,2,2,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,2,3,4,3,4,4,4,4,3.3,2.2,1,3.63,2.8
313,6421,2,2,5,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,4,3,3,4,4,4,4,4,4,5,5,3,3.1,3.18,4.07,3.54
