No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
332,6504,5,5,5,5,4,4,4,3,3,4,5,3,3,3,2,3,3,2,4,5,3,4,3,2,4,2,2,2,3,3,3,4,4,4,4,5,4,2,1,4,3,4,2,2,5,5,5,4.2,3.3,2.82,3.63,3.49
333,6505,5,5,5,5,5,5,5,5,5,5,3,3,1,3,2,4,4,4,4,5,1,1,1,1,2,2,1,2,2,2,1,4,4,4,4,4,4,3,4,4,4,5,3,4,5,5,4,5,3.3,1.45,4.07,3.57
334,6506,1,3,4,2,2,2,2,3,3,3,2,2,3,3,2,4,3,3,3,2,2,2,2,1,1,1,1,2,1,2,1,4,4,4,4,3,4,3,2,4,4,4,3,4,3,4,4,2.5,2.7,1.45,3.63,2.89
335,6507,3,3,3,3,5,3,3,5,3,2,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,2,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,5,3.3,2.6,2.18,3.82,3.18
336,6508,3,1,3,3,3,3,3,2,3,2,1,2,2,1,1,3,3,3,1,3,2,1,1,3,1,1,1,2,1,1,1,4,4,4,4,4,4,3,1,2,3,4,3,4,4,4,3,2.6,2,1.36,3.45,2.63
337,6509,3,3,4,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,4,2,1,3,4,4,3,2,4,2,2,3.1,3.1,2,3.05,2.9
338,6510,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,5,4,5,5,3,5,5,3,5,2,2,3,3,2,2,5,5,5,4,4,5,3,4,4,4,5,4,5,5,5,4,4,4.4,3.18,4.45,4.17
339,6511,5,5,4,5,5,5,5,5,4,4,3,3,5,3,5,5,5,5,3,5,4,4,3,3,3,5,5,5,3,3,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.7,4.2,3.91,4.82,4.5
340,6512,2,1,3,1,1,3,1,3,3,3,2,1,3,2,2,3,2,1,3,3,1,2,3,2,1,1,1,1,2,2,3,4,4,4,4,5,1,2,1,3,4,4,1,2,4,4,4,2.1,2.2,1.73,3.19,2.56
341,6513,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,4,4,4,4,5,4,3,3,4,5,5,4,4,5,4,5,3.1,2.7,2.27,4.2,3.36
342,6514,3,3,4,3,3,3,3,1,5,5,2,2,1,1,1,3,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,4,4,4,4,3,3,3,1,3,3,4,2,4,4,4,1,3.3,1.6,1.18,3.19,2.47
343,6515,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,3,1,1,1,4,4,4,4,4,4,4,2,3,4,5,5,4,5,5,5,3,2.9,2,4.15,3.33
344,6516,2,2,4,1,1,1,1,1,1,2,1,1,2,2,1,3,2,2,3,3,1,2,2,1,2,1,2,1,1,1,1,4,4,4,4,4,5,3,5,5,4,5,5,5,4,4,5,1.6,2,1.36,4.38,2.93
345,6517,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,4,4,4,5,3,3,3,4,3,3,3,4,3,3,3,2,5,4,5,5,4,5,5,4,5,4,4,4,5,5,5,5,5,4,3.09,4.63,4.27
346,6518,3,3,4,1,3,3,3,3,3,3,3,3,2,2,3,5,3,2,2,2,1,2,2,1,2,1,1,3,1,1,1,4,4,4,4,4,5,3,3,3,4,5,4,4,4,4,4,2.9,2.7,1.45,3.95,3.09
347,6519,5,2,3,5,5,5,5,3,5,4,3,3,1,3,5,5,3,2,5,2,2,2,4,3,2,2,2,2,3,3,3,5,5,5,4,4,5,2,3,3,4,5,2,5,4,5,4,4.2,3.2,2.55,4.07,3.62
348,6520,5,5,5,5,4,5,5,5,5,5,4,3,4,2,4,5,5,4,5,3,4,4,3,5,5,4,3,5,3,3,3,5,4,5,4,5,5,3,3,3,4,4,5,4,5,5,5,4.9,3.9,3.82,4.32,4.21
349,6521,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,5,4,3,4,4,4,4,3,3,2,2,2,3,2,2,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,4,3,3.2,3.6,2.82,4.07,3.63
350,6522,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,5,5,4,5,5,3,4,2,2,4,2,2,3,5,5,5,5,5,5,3,4,3,5,5,5,4,5,5,5,5,4,3.27,4.63,4.3
351,6523,5,4,4,5,5,5,4,4,5,5,3,3,2,3,1,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,2,4.6,2.6,2,3.63,3.23
352,6524,2,2,2,2,2,2,1,2,1,1,1,1,2,3,2,2,3,2,2,3,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,5,5,2,2,4,5,4,4,4,4,4,5,1.7,2.1,1.18,4.01,2.76
353,6525,3,2,3,1,3,3,2,3,1,3,3,2,2,2,3,3,3,2,2,3,1,2,2,1,1,1,1,2,1,1,1,4,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,2.4,2.5,1.27,3.94,2.94
354,6526,5,5,5,5,5,5,5,4,4,3,4,4,2,4,3,2,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,4,4,4,3,3,5,5,5,4.6,2.9,1.18,4.01,3.34
355,6527,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,4,3,3,3,3,3,4,3,2,2,2,3,2,2,2,4,4,4,5,4,4,4,4,3,4,4,4,3,5,5,5,4,3.3,2.55,4.13,3.65
356,6528,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,1,3,3,3,4,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,3,2.55,4.57,3.9
357,6529,5,5,5,4,5,5,5,5,5,5,3,3,3,2,3,4,3,2,3,3,2,3,4,2,3,2,2,2,3,3,3,5,5,5,5,5,4,5,3,5,5,5,4,5,5,5,5,4.9,2.9,2.64,4.75,3.96
358,6571,5,5,5,5,5,5,5,5,5,5,3,3,4,3,5,5,5,4,5,5,3,3,3,3,3,3,2,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.2,3.09,5,4.49
359,6572,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,5,5,3,5,5,4,5,4,3,4,4,2,4,3,3,3,5,4,4,5,5,4,3,4,3,4,5,5,5,5,5,5,5,4,3.55,4.46,4.26
360,6573,5,5,4,5,4,4,4,3,5,5,3,3,3,3,3,5,3,2,2,4,2,3,2,3,3,3,2,3,3,3,3,5,4,4,4,5,5,4,3,3,5,5,5,5,4,5,5,4.4,3.1,2.73,4.45,3.82
361,6574,5,5,3,4,5,4,3,4,4,3,3,3,2,3,4,3,2,2,4,3,3,2,2,2,2,2,2,2,2,4,2,5,4,5,4,5,5,3,3,3,5,4,5,5,4,5,5,4,2.9,2.27,4.38,3.62
362,6575,3,3,4,3,4,4,4,3,3,3,1,1,3,3,3,3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3.4,2.7,1,4,3.1
363,6576,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,2,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,5,4,3.3,2.91,4.08,3.68
364,6577,5,5,4,4,4,4,4,4,5,5,5,5,3,3,1,4,4,3,5,4,2,3,4,3,2,2,1,2,3,3,3,4,4,4,4,4,3,4,3,3,4,4,3,4,5,4,4,4.4,3.7,2.55,3.82,3.65
365,6578,5,5,4,4,5,5,5,5,5,5,4,3,4,5,5,4,4,4,5,5,4,5,4,3,4,3,4,5,3,3,5,4,4,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4.8,4.3,3.91,4.63,4.45
366,6579,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,2,2,2,3,1,1,1,4,4,4,4,4,4,3,3,3,5,4,3,5,4,4,5,3.1,3.1,2.27,3.95,3.35
367,6600,3,3,3,3,3,3,3,3,3,5,2,2,3,4,3,3,3,3,5,4,1,5,1,1,3,1,1,1,1,1,1,5,5,5,5,5,4,3,4,5,5,4,4,5,5,5,5,3.2,3.2,1.55,4.63,3.58
368,6601,3,3,4,3,3,3,3,3,3,4,2,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,4,4,4,4,2,4,3,3,3,3,4,3,2,4,4,5,3.2,1.7,1.27,3.51,2.65
369,6602,4,4,4,4,3,3,2,3,3,3,3,2,3,2,3,3,3,2,4,2,1,3,3,3,1,1,3,2,3,3,2,4,4,1,4,1,4,1,2,3,3,4,1,4,4,5,4,3.3,2.7,2.27,3.08,2.88
370,6603,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,1,2,3,4,2,1,3,3,3,1.1,1.1,1,2.87,1.89
371,6604,3,3,3,3,3,3,3,3,3,4,1,1,2,1,2,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,2,4,4,3,2,4,4,5,3.1,1.9,1,3.45,2.61
372,6605,4,3,3,5,3,3,3,3,4,5,2,2,1,2,1,3,1,2,2,1,1,3,1,1,2,1,1,1,1,1,1,4,4,4,5,4,4,3,3,3,3,4,3,4,1,5,5,3.6,1.7,1.27,3.69,2.78
373,6606,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,1,3,3,1,2,2,3,2,1,1,1,4,4,3,4,4,3,2,2,3,4,4,3,4,3,3,5,3.3,2.8,1.82,3.45,3
374,6607,3,3,3,3,3,2,3,3,3,3,3,1,4,3,5,3,2,2,4,2,1,4,3,3,2,1,1,2,1,1,1,1,1,4,4,2,1,2,1,3,1,4,1,3,3,3,3,2.9,2.9,1.82,2.33,2.46
375,6608,1,1,3,2,1,3,1,1,3,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,4,4,4,4,1,4,3,1,3,3,4,2,2,3,4,4,1.8,1.5,1.09,3.13,2.21
376,6609,3,1,4,1,3,3,3,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,4,4,3,3,3,3,1,4,3,3,3,4,4,3,4,2.3,1.2,1.27,3.2,2.26
377,6610,4,4,3,4,5,4,4,4,4,4,2,1,2,3,4,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,2.6,1,3.76,3.05
378,6611,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,5,3,3,1,4,3,2,2,2,3,2,2,1,3,4,4,4,4,4,3,2,3,3,3,4,2,3,4,3,3,3.2,2.27,3.31,3.07
379,6612,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,1.3,1.4,1.27,3.12,2.15
380,6671,2,2,4,4,3,4,4,4,4,4,4,3,3,5,1,4,2,3,3,3,2,4,2,3,1,3,1,4,1,1,3,4,4,4,4,4,4,3,4,3,4,4,4,4,5,5,4,3.5,3.1,2.27,4.01,3.43
381,6672,3,3,5,4,4,3,4,5,3,5,2,2,3,5,4,4,4,2,4,3,1,2,2,2,3,2,1,3,3,2,4,3,3,3,5,3,5,3,5,2,3,5,3,4,4,3,3,3.9,3.3,2.27,3.57,3.33
382,6700,2,3,1,2,2,3,3,2,3,2,3,3,1,3,1,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,1,3,3,3,4,3,3,5,5,5,2.3,2.3,2,3.4,2.75
383,6701,2,1,1,1,2,2,1,1,1,3,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,2,2,1,4,4,1.5,1.4,1,3.3,2.21
384,6702,3,3,2,2,3,2,3,2,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,2,1,3,4,4,2,2,3,3,3,2.5,1.2,1,3.12,2.21
385,6703,3,3,3,3,4,4,3,2,4,3,1,3,1,2,2,4,1,1,3,3,3,3,3,3,2,3,2,4,1,3,1,4,4,4,4,4,4,3,3,4,4,4,3,4,5,5,5,3.2,2.1,2.55,4.01,3.19
386,6704,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,5,3,3,4,4,1,1,3,1,2,3,1,3,1,1,1,4,4,4,4,3,4,3,3,4,3,4,4,4,5,5,5,3,2.6,1.64,3.96,3.11
387,6705,3,2,3,1,2,2,2,3,3,3,1,2,2,2,2,2,3,2,2,1,2,2,2,1,2,1,1,1,1,1,1,4,4,4,4,3,4,2,3,3,3,4,2,4,3,3,4,2.4,1.9,1.36,3.37,2.55
388,6706,3,3,4,3,4,3,3,2,4,4,1,3,2,1,1,3,3,2,2,3,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,3,2,1,2,4,2,2,3,3,5,3.3,2.1,1.09,3.19,2.58
389,6707,1,1,1,2,2,1,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,1,4,5,4,4,1.5,1.2,1,3.63,2.31
390,6708,3,3,4,5,3,3,3,3,3,5,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,2,4,5,3,3,3.5,1.4,1,3.56,2.59
391,6709,3,2,3,1,1,1,1,1,3,3,1,1,2,1,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,1,2,4,5,5,1.9,1.7,1,3.62,2.48
392,6710,3,3,3,3,2,3,2,3,3,3,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,2,2,4,3,4,2.8,1.4,1,3.43,2.44
393,6711,4,3,3,3,3,5,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4,3,3,3,4,2,4,4,3,3,3.3,2.7,1.82,3.55,3.02
394,6712,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,1,1,3,1,4,3,4,4,2,2,1.2,1,1,2.95,1.91
395,6713,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,3,1,2,4,1,3,4,3,2,3,1.3,1,1,2.81,1.86
396,6771,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,3,5,3,5,3,2.9,2.8,1.64,3.69,3.03
397,6800,3,3,3,3,3,3,2,3,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,3,3,3,5,5,2,2,5,5,3,2.6,1.6,1,3.93,2.69
398,6801,3,3,4,3,3,3,3,3,3,2,2,2,1,2,2,3,3,3,3,1,1,2,2,1,2,1,1,2,1,1,1,5,5,4,5,3,4,3,3,2,4,5,3,4,5,3,2,3,2.2,1.36,3.75,2.87
399,6802,3,3,3,3,3,3,4,3,3,3,2,2,2,3,4,3,3,2,3,4,1,1,1,1,2,2,1,1,2,2,3,4,4,4,5,4,4,4,3,3,3,4,3,4,5,4,4,3.1,2.8,1.55,3.88,3.12
400,6803,4,4,4,1,4,4,4,4,4,4,3,3,1,3,4,2,2,3,2,1,2,1,2,2,2,1,1,2,1,1,1,4,4,4,4,4,4,3,3,4,4,4,2,4,4,5,5,3.7,2.4,1.45,3.88,3.09
401,6804,3,3,3,3,5,3,3,5,5,3,3,3,1,2,5,5,4,5,2,3,1,2,2,3,2,3,3,3,1,1,1,5,4,4,1,4,5,3,5,4,4,4,4,5,4,5,5,3.6,3.3,2,4.14,3.51
402,6805,1,1,3,3,3,3,3,1,1,3,1,1,2,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,5,3,1,4,4,4,4,4,4,4,4,2.2,1.9,1,3.88,2.69
403,6806,2,2,2,3,3,3,3,2,3,3,1,1,2,2,1,1,3,1,2,3,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,4,4,4,2,4,4,4,2.6,1.7,1.09,3.63,2.59
404,6807,3,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,4,3,2,3,3,1,2,2,3,3,1,2,2,3,2,4,4,3,4,3,4,3,3,3,4,4,3,4,5,5,5,3.1,2.8,2.18,3.83,3.21
405,6808,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,3,4,2,2,3,3,3,2.8,1.1,1,3.24,2.28
406,6809,2,2,1,1,2,2,1,2,1,3,1,1,1,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,3,2,2,3,4,2,2,4,3,2,1.7,1.6,1,3.05,2.18
407,6810,3,3,3,3,5,3,3,3,3,5,2,3,3,2,3,3,3,2,4,1,2,2,3,3,2,2,2,3,2,2,2,4,4,4,4,3,4,3,4,3,4,4,3,4,5,4,3,3.4,2.6,2.27,3.75,3.17
408,6811,3,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,3,1,2,1,2,2,2,3,2,2,1,2,1,1,1,4,4,3,4,3,3,3,1,3,4,4,3,4,3,4,4,3,1.9,1.73,3.38,2.69
409,6871,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,5,4,2,2,2,2,3,2,2,2,2,2,2,5,5,5,5,4,5,3,3,5,5,5,3,5,5,5,5,5,3.7,2.09,4.57,4
410,6872,2,2,3,3,3,3,3,2,3,3,3,3,1,2,1,3,3,2,1,3,2,2,2,1,2,1,1,2,1,1,1,4,4,4,4,4,4,3,1,3,3,4,2,4,4,3,3,2.7,2.2,1.45,3.37,2.68
411,6900,3,3,4,3,3,3,3,2,3,3,1,3,1,2,1,3,3,2,2,1,1,2,1,1,2,3,1,1,1,3,2,4,4,4,4,3,4,3,3,3,3,4,4,4,5,5,5,3,1.9,1.64,3.9,2.91
412,6901,4,4,4,4,4,2,2,3,4,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,2,3,3,4,4,4,3,3,4,3.3,1.4,1,3.51,2.54
413,6902,3,3,3,3,3,3,3,2,3,4,2,3,1,3,3,3,3,3,2,3,3,2,2,2,2,2,3,3,1,1,1,4,4,4,4,3,4,3,2,3,4,4,2,4,3,3,3,3,2.6,2,3.37,2.9
414,6904,3,2,3,2,3,3,3,3,3,3,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,2,1,3,1,4,2,3,1,1,1,2.8,1.9,1,2.24,2.02
415,6907,1,2,2,1,2,2,2,2,1,3,1,1,3,1,1,2,2,2,3,1,1,2,2,3,1,1,1,3,1,1,1,4,4,4,4,4,4,3,3,2,4,4,3,3,4,3,3,1.8,1.7,1.55,3.49,2.5
416,6908,3,3,4,3,3,3,3,3,3,3,3,3,2,1,1,3,3,2,2,3,3,3,3,3,2,2,3,3,3,2,1,4,4,3,4,4,4,3,3,3,4,4,4,4,5,5,5,3.1,2.3,2.55,3.96,3.2
417,6910,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,1,1,1,2,2,3,3,2,1,1,1,1,1,1,4,4,4,4,4,3,2,3,3,3,4,3,4,5,5,5,3,1.9,1.64,3.77,2.85
418,6912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.25,1.11
419,6971,3,3,5,3,3,3,3,2,3,3,1,1,2,1,5,3,4,5,4,3,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,2,3,3,4,4,5,4,5,5,5,3.1,2.9,1.09,4.02,3.14
420,6972,4,4,5,5,4,4,5,5,5,5,5,3,4,3,4,3,4,4,3,4,2,2,2,2,3,3,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4.6,3.7,2.27,4.07,3.75
421,6973,3,3,3,2,3,3,3,3,3,3,2,2,1,2,2,3,3,1,2,2,2,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,3,3,3,3,4,4,4,5,3,4,2.9,2,1.45,3.76,2.83
422,7000,2,3,4,2,3,3,3,3,3,3,1,1,2,1,1,2,3,1,2,3,1,2,3,2,1,1,1,1,2,1,2,4,4,4,1,3,4,2,4,1,3,4,1,2,2,4,1,2.9,1.7,1.55,2.74,2.3
423,7001,2,2,2,2,2,3,2,3,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,3,1,1,2,4,1,2,3,1,1,2.1,1.2,1,2.36,1.81
424,7002,2,2,5,5,4,4,4,4,2,4,3,3,3,4,3,3,3,3,4,3,4,4,3,3,3,2,3,3,1,1,3,4,4,4,4,4,4,4,2,2,4,4,4,4,5,5,5,3.6,3.2,2.73,3.96,3.52
425,7003,3,3,3,3,3,3,3,3,3,5,1,1,1,2,1,2,2,1,3,3,2,1,1,2,1,1,1,1,1,1,1,4,4,3,4,3,2,1,3,3,1,2,1,3,3,4,3,3.2,1.7,1.18,2.75,2.29
426,7004,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,3,4,3,3,4,1,3,4,4,3,1.1,1.5,1,3.31,2.19
427,7005,3,3,3,3,3,3,2,2,3,3,1,2,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,4,2,1,1,1,4,2,2,3,3,3,2.8,1.6,1,2.75,2.18
428,7006,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,1,4,4,2,2,2,2,2,1,1,1,1,3,3,4,4,4,4,4,3,3,2,3,2,3,4,2,1,3,3,3,2.4,1.82,3.05,2.68
429,7007,2,2,3,2,3,3,1,2,1,2,2,2,2,1,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,4,4,4,4,4,1,4,1,3,4,1,3,2,4,1,3,2.1,1.5,1.27,2.92,2.19
430,7008,2,2,3,1,1,3,2,3,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,2,3,1,4,1,2,3,5,2,2.3,1.2,1,3.05,2.15
431,7009,4,3,3,2,3,3,3,3,3,3,3,3,3,2,1,2,3,2,2,3,3,2,3,2,2,3,2,1,2,3,3,4,4,4,4,3,4,3,1,3,3,4,4,3,2,2,3,3,2.4,2.36,3.18,2.83
432,7012,2,3,2,3,2,2,2,1,3,1,1,2,2,1,1,2,2,1,2,3,1,2,1,1,1,1,1,1,3,3,2,4,4,4,4,3,4,2,1,3,4,4,1,2,3,4,2,2.1,1.7,1.55,3.05,2.34
433,7013,3,3,3,3,3,3,2,2,3,3,1,1,2,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,4,3,4,4,2,2,4,1,4,2.8,1.6,1,3.36,2.46
434,7071,3,3,4,3,4,4,3,3,3,3,1,2,1,1,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1,1,4,4,4,5,4,4,4,3,5,4,3,4,4,4,4,4,3.3,1.6,1.82,3.99,2.95
435,7072,3,4,3,2,3,2,3,2,3,2,3,2,1,4,5,2,3,2,3,3,3,4,3,2,2,3,3,1,2,2,2,3,3,2,4,2,3,3,2,3,2,3,4,3,5,2,4,2.7,2.8,2.45,3.02,2.83
436,7073,3,3,2,3,3,3,2,3,3,3,1,2,4,2,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,2,4,4,4,4,4,4,3,3,3,3,4,4,3,3,2,4,2.8,2.7,2.27,3.49,3
437,7074,3,3,4,3,3,5,3,2,3,3,3,3,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,1,1,1,3,3,3,4,3,1,2,3,3,1,4,4,2,4,4,4,3.2,2.6,1.73,3.02,2.73
438,7100,3,3,5,3,5,5,5,5,5,5,3,3,2,5,1,3,4,4,4,1,3,3,1,2,2,3,3,2,3,3,1,4,4,4,4,3,1,3,3,3,4,4,3,4,3,3,3,4.4,3,2.36,3.31,3.22
439,7101,3,2,3,3,4,3,3,3,1,3,2,2,2,1,1,3,3,3,3,2,1,1,2,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,4,3,3,1,3,4,4,2.8,2.2,1.45,3.36,2.68
440,7102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,3,3,4,2,4,4,4,1,1,1,1,3.25,2.02
441,7103,2,2,3,1,1,1,1,1,1,2,3,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,1,4,4,3,4,1.5,1.6,1,3.62,2.41
442,7104,3,4,4,4,4,4,4,3,4,4,2,1,2,3,1,2,3,1,2,3,1,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3.8,2,1.36,3.81,2.95
443,7105,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,3,1,3,3,2,2,2,1,2,1,1,1,1,1,1,3,3,3,4,3,4,2,3,3,3,4,2,4,4,3,3,3,2.3,1.36,3.19,2.64
444,7171,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,1,3,3,4,1,4,4,3,4,3,2,1,3.37,2.59
445,7200,3,3,3,3,3,3,3,3,3,4,4,3,3,2,4,3,3,2,4,4,2,3,3,2,2,2,2,2,2,4,3,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3.1,3.2,2.45,3.37,3.14
