No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
253;6103;4;4;4;4;4;4;4;3;4;3;2;3;1;3;1;3;3;1;2;3;1;2;2;1;2;1;1;1;1;1;1;4;4;4;5;3;4;3;3;3;4;5;4;4;4;5;4;3,8;2,25;2;2,5;1,38;1;3,7;4,33
254;6104;4;4;4;2;3;4;4;3;3;4;3;3;2;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;3;3;1;4;4;4;4;4;4;3;3;2;4;4;3;4;5;5;5;3,5;2,5;2,75;3;2,25;2,33;3,6;4,33
255;6105;5;5;5;5;5;5;5;5;5;5;3;3;4;3;4;5;5;5;5;5;3;4;3;4;4;3;3;3;3;3;3;5;5;5;5;5;4;3;5;3;5;5;5;5;5;5;5;5;3,25;4,75;5;3,38;3;4,5;5
256;6106;3;3;3;1;3;3;3;4;3;3;3;3;1;2;1;4;3;2;2;1;1;1;1;1;1;2;1;1;3;3;1;4;5;4;4;4;5;4;3;3;4;4;3;4;5;4;4;2,9;2,25;2,5;1,5;1,13;2,33;4;4
257;6107;3;3;4;1;3;3;3;3;4;3;2;2;3;3;3;3;3;3;2;2;2;3;1;1;1;1;1;1;1;1;1;4;4;4;4;4;2;3;3;3;3;4;3;4;3;4;3;3;2,5;3;2;1,38;1;3,4;3,5
258;6108;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;4;3;4;3;3;2;3;3;3;3;2;2;2;2;2;2;4;4;4;5;4;4;3;3;3;3;3;5;4;5;5;4;4;2,75;3,5;3;2,5;2;3,7;4,33
259;6109;5;5;5;5;5;5;5;5;5;5;3;3;2;4;5;4;4;5;2;4;3;2;2;2;2;2;2;4;3;3;3;5;5;4;5;5;5;2;5;5;5;5;5;5;5;5;5;5;3;4,5;3;2,38;3;4,6;5
260;6110;4;4;4;4;4;4;4;4;4;4;3;4;2;2;4;3;4;3;3;3;2;3;2;2;2;2;2;2;2;2;2;4;4;4;3;4;4;4;2;3;4;3;4;3;4;4;4;4;2,75;3,5;3;2,13;2;3,6;3,67
261;6111;4;4;2;1;3;3;4;2;4;4;1;1;1;2;2;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;4;3;3;5;5;5;4;4;3;4;5;3,1;1,25;2,25;2;1;1;4,5;4,17
262;6112;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;2;3;1;1;1;2;1;3;1;2;1;1;1;4;4;4;4;4;4;3;3;4;4;5;2;3;5;5;5;3;2,75;2,75;2,5;1,5;1;3,8;4,17
263;6113;4;3;4;3;3;3;3;3;3;3;3;3;2;2;1;3;3;2;2;3;3;2;3;1;2;2;1;2;3;2;2;4;4;4;4;4;4;3;3;4;4;4;2;3;5;4;4;3,2;2,5;2,25;2,5;2;2,33;3,8;3,67
264;6114;4;2;4;3;3;3;3;1;3;3;3;3;3;3;1;4;4;3;3;4;4;3;3;4;2;3;1;3;3;3;2;4;4;4;4;4;3;3;3;3;3;4;4;5;4;5;5;2,9;3;3;3,5;2,88;2,67;3,5;4,5
265;6115;4;4;4;4;4;4;4;4;4;5;5;4;3;3;3;3;3;3;5;2;3;3;2;3;2;2;2;3;3;3;3;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;3;4,1;3,75;3;3,5;2,5;3;3,7;3,83
266;6116;5;5;3;2;2;3;3;3;3;3;5;3;2;2;3;4;2;1;2;3;1;3;2;1;2;1;1;1;2;2;1;4;4;3;4;4;3;2;2;2;3;5;3;4;3;5;3;3,2;3;2,5;2,5;1,5;1,67;3,1;3,83
267;6117;3;3;4;3;3;3;3;3;3;4;3;3;3;2;3;4;3;2;3;3;3;2;2;2;1;2;1;2;1;1;1;4;4;3;4;5;5;5;5;3;4;5;3;2;5;5;5;3,2;2,75;3;3;1,88;1;4,2;4,17
268;6118;5;5;5;5;4;5;5;5;5;5;4;3;2;2;3;3;1;2;4;4;2;2;2;2;2;2;2;2;1;1;1;5;5;5;4;4;4;3;2;3;4;5;4;5;4;5;5;4,9;2,75;2,25;4;2;1;3,9;4,67
269;6171;5;5;5;4;4;4;4;4;5;5;4;4;3;4;4;4;3;3;5;4;3;3;3;4;3;3;3;3;3;3;3;4;4;4;4;5;4;4;3;4;5;4;4;4;5;5;5;4,5;3,75;3,5;4,5;3,13;3;4,1;4,5
270;6172;4;3;4;4;4;3;4;4;4;3;3;3;3;3;4;3;3;4;4;4;3;3;3;3;3;3;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;3,7;3;3,5;4;2,88;3;4;4,5
271;6173;2;2;3;3;2;2;3;3;3;3;3;3;1;2;3;2;2;3;3;3;1;2;4;3;3;2;2;2;1;1;1;4;4;4;4;3;4;3;2;3;3;4;4;4;4;5;4;2,6;2,25;2,5;3;2,38;1;3,4;4,17
272;6174;5;3;4;4;4;4;4;4;4;5;3;2;2;3;4;4;4;4;5;3;3;3;3;3;3;3;3;3;2;2;3;4;4;4;4;5;4;3;2;3;5;4;4;2;3;5;4;4,1;2,5;4;4;3;2,33;3,8;3,67
