No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
323;6471;5;5;5;5;5;5;5;5;5;5;2;3;5;4;5;3;3;3;5;5;5;5;5;3;3;1;1;3;5;5;5;4;4;4;4;4;4;3;3;3;4;4;4;3;5;5;1;5;3,5;3,5;5;3,25;5;3,7;3,67
324;6472;2;2;2;3;3;3;3;5;2;4;3;3;5;2;5;4;3;2;4;1;1;1;3;3;2;1;1;3;1;1;2;4;4;5;4;4;4;3;2;3;5;4;5;4;4;4;4;2,9;3,25;3,5;2,5;1,88;1,33;3,8;4,17
325;6473;5;4;2;2;4;4;4;2;4;4;4;3;2;3;3;3;4;2;4;4;2;2;1;2;2;1;2;2;1;2;3;4;4;4;4;4;4;2;3;4;4;4;4;4;4;4;4;3,5;3;3;4;1,75;2;3,7;4
326;6474;3;5;5;5;5;5;4;5;5;4;2;3;3;4;3;5;5;2;4;5;3;3;2;3;3;2;2;2;3;3;3;5;4;4;3;4;4;3;1;4;4;4;5;4;5;5;5;4,6;3;3,75;4,5;2,5;3;3,6;4,67
327;6475;2;2;4;3;3;3;2;4;2;3;2;3;3;2;3;3;4;3;2;2;3;4;3;2;3;3;3;2;2;4;4;4;3;4;5;5;4;2;3;3;5;3;5;4;5;4;5;2,8;2,5;3,25;2;2,88;3,33;3,8;4,33
328;6476;4;5;4;5;5;5;5;5;5;5;3;4;3;3;2;4;3;3;4;3;2;3;2;2;2;2;2;2;3;3;2;4;4;3;4;4;4;4;4;4;4;5;5;4;5;5;5;4,8;3,25;3;3,5;2,13;2,67;3,9;4,83
329;6500;3;1;3;5;5;5;3;1;2;3;4;3;3;1;4;2;4;2;4;4;1;1;1;1;1;1;1;1;2;2;3;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;3,1;2,75;3;4;1;2,33;4,8;5
330;6501;5;5;5;5;5;5;5;5;5;5;4;3;3;2;3;5;5;5;4;5;4;3;3;3;2;2;2;5;3;3;1;5;5;5;4;5;5;5;3;5;5;5;5;5;5;5;5;5;3;4,5;4,5;3;2,33;4,7;5
331;6502;5;3;3;4;5;5;5;2;5;5;4;3;4;5;4;4;3;3;3;3;2;2;2;3;2;3;1;1;2;2;3;4;4;4;4;4;4;4;4;5;4;3;4;4;5;3;1;4,2;4;3,5;3;2;2,33;4,1;3,33
332;6503;4;4;4;2;3;3;3;2;3;4;2;1;2;2;3;3;3;2;3;3;1;2;2;2;2;1;2;2;1;1;2;4;4;5;5;3;3;3;3;4;5;4;3;4;4;5;5;3,2;1,75;2,75;3;1,75;1,33;3,9;4,17
333;6504;5;5;5;5;4;4;4;3;3;4;5;3;3;3;2;3;3;2;4;5;3;4;3;2;4;2;2;2;3;3;3;4;4;4;4;5;4;2;1;4;3;4;2;2;5;5;5;4,2;3,5;2,5;4,5;2,75;3;3,5;3,83
334;6505;5;5;5;5;5;5;5;5;5;5;3;3;1;3;2;4;4;4;4;5;1;1;1;1;2;2;1;2;2;2;1;4;4;4;4;4;4;3;4;4;4;5;3;4;5;5;4;5;2,5;3,5;4,5;1,38;1,67;3,9;4,33
335;6506;1;3;4;2;2;2;2;3;3;3;2;2;3;3;2;4;3;3;3;2;2;2;2;1;1;1;1;2;1;2;1;4;4;4;4;3;4;3;2;4;4;4;3;4;3;4;4;2,5;2,5;3;2,5;1,5;1,33;3,6;3,67
336;6507;3;3;3;3;5;3;3;5;3;2;3;2;2;3;2;3;3;2;3;3;2;2;3;2;2;2;3;2;2;2;2;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;5;3,3;2,5;2,5;3;2,25;2;3,6;4,17
337;6508;3;1;3;3;3;3;3;2;3;2;1;2;2;1;1;3;3;3;1;3;2;1;1;3;1;1;1;2;1;1;1;4;4;4;4;4;4;3;1;2;3;4;3;4;4;4;3;2,6;1,5;2,5;2;1,5;1;3,3;3,67
338;6509;3;3;4;3;3;3;3;3;3;3;3;3;4;2;3;3;3;3;3;4;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;4;2;1;3;4;4;3;2;4;2;2;3,1;3;3;3,5;2;2;3,2;2,83
339;6510;4;4;4;4;4;4;4;4;4;4;4;3;4;5;5;4;5;4;5;5;3;5;5;3;5;2;2;3;3;2;2;5;5;5;4;4;5;3;4;4;4;5;4;5;5;5;4;4;4;4,5;5;3,5;2,33;4,3;4,67
340;6511;5;5;4;5;5;5;5;5;4;4;3;3;5;3;5;5;5;5;3;5;4;4;3;3;3;5;5;5;3;3;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4,7;3,5;5;4;4;3,67;4,7;5
341;6512;2;1;3;1;1;3;1;3;3;3;2;1;3;2;2;3;2;1;3;3;1;2;3;2;1;1;1;1;2;2;3;4;4;4;4;5;1;2;1;3;4;4;1;2;4;4;4;2,1;2;2;3;1,5;2,33;3,2;3,17
342;6513;3;3;4;3;3;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;2;3;3;2;2;2;2;2;2;2;3;4;4;4;4;5;4;3;3;4;5;5;4;4;5;4;5;3,1;2,5;2,75;3;2,25;2,33;4;4,5
343;6514;3;3;4;3;3;3;3;1;5;5;2;2;1;1;1;3;2;2;1;1;1;1;1;1;1;2;1;2;1;1;1;4;4;4;4;3;3;3;1;3;3;4;2;4;4;4;1;3,3;1,5;2;1;1,25;1;3,2;3,17
344;6515;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;2;2;2;2;3;1;1;1;4;4;4;4;4;4;4;2;3;4;5;5;4;5;5;5;3;2,75;3;3;2,38;1;3,7;4,83
345;6516;2;2;4;1;1;1;1;1;1;2;1;1;2;2;1;3;2;2;3;3;1;2;2;1;2;1;2;1;1;1;1;4;4;4;4;4;5;3;5;5;4;5;5;5;4;4;5;1,6;1,5;2;3;1,5;1;4,2;4,67
346;6517;5;5;5;5;5;5;5;5;5;5;4;3;4;5;4;4;4;4;5;3;3;3;4;3;3;3;4;3;3;3;2;5;4;5;5;4;5;5;4;5;4;4;4;5;5;5;5;5;4;4;4;3,25;2,67;4,6;4,67
347;6518;3;3;4;1;3;3;3;3;3;3;3;3;2;2;3;5;3;2;2;2;1;2;2;1;2;1;1;3;1;1;1;4;4;4;4;4;5;3;3;3;4;5;4;4;4;4;4;2,9;2,5;3,25;2;1,63;1;3,8;4,17
348;6519;5;2;3;5;5;5;5;3;5;4;3;3;1;3;5;5;3;2;5;2;2;2;4;3;2;2;2;2;3;3;3;5;5;5;4;4;5;2;3;3;4;5;2;5;4;5;4;4,2;2,5;3,75;3,5;2,38;3;4;4,17
349;6520;5;5;5;5;4;5;5;5;5;5;4;3;4;2;4;5;5;4;5;3;4;4;3;5;5;4;3;5;3;3;3;5;4;5;4;5;5;3;3;3;4;4;5;4;5;5;5;4,9;3,25;4,5;4;4,13;3;4,1;4,67
350;6521;3;3;3;3;3;3;3;3;3;5;3;3;3;4;3;5;4;3;4;4;4;4;3;3;2;2;2;3;2;2;4;4;4;4;4;4;4;3;4;4;4;5;5;5;4;4;3;3,2;3,25;3,75;4;2,88;2,67;3,9;4,33
351;6522;5;5;5;5;5;5;5;5;5;5;4;3;4;4;4;4;4;3;5;5;4;5;5;3;4;2;2;4;2;2;3;5;5;5;5;5;5;3;4;3;5;5;5;4;5;5;5;5;3,75;3,75;5;3,63;2,33;4,5;4,83
352;6523;5;4;4;5;5;5;4;4;5;5;3;3;2;3;1;3;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;2;4,6;2,75;2,25;3;2;2;3,6;3,67
353;6524;2;2;2;2;2;2;1;2;1;1;1;1;2;3;2;2;3;2;2;3;1;1;1;1;3;1;1;1;1;1;1;4;4;4;4;5;5;2;2;4;5;4;4;4;4;4;5;1,7;1,75;2,25;2,5;1,25;1;3,9;4,17
354;6525;3;2;3;1;3;3;2;3;1;3;3;2;2;2;3;3;3;2;2;3;1;2;2;1;1;1;1;2;1;1;1;4;4;4;4;4;5;4;3;4;3;4;4;4;4;4;4;2,4;2,25;2,75;2,5;1,38;1;3,9;4
355;6526;5;5;5;5;5;5;5;4;4;3;4;4;2;4;3;2;2;2;3;3;2;2;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;3;4;4;4;3;3;5;5;5;4,6;3,5;2,25;3;1,25;1;3,9;4,17
356;6527;4;4;4;4;4;4;4;4;4;4;4;3;4;2;4;3;4;3;3;3;3;3;4;3;2;2;2;3;2;2;2;4;4;4;5;4;4;4;4;3;4;4;4;3;5;5;5;4;3,25;3,5;3;2,75;2;4;4,33
357;6528;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;1;1;1;3;3;3;4;5;5;5;5;4;4;4;4;5;4;4;5;5;5;5;5;3;3;3;2,38;3;4,5;4,67
358;6529;5;5;5;4;5;5;5;5;5;5;3;3;3;2;3;4;3;2;3;3;2;3;4;2;3;2;2;2;3;3;3;5;5;5;5;5;4;5;3;5;5;5;4;5;5;5;5;4,9;2,75;3;3;2,5;3;4,7;4,83
359;6571;5;5;5;5;5;5;5;5;5;5;3;3;4;3;5;5;5;4;5;5;3;3;3;3;3;3;2;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3,25;4,75;5;3,13;3;5;5
360;6572;5;5;5;5;5;5;5;5;5;5;4;3;3;4;3;5;5;3;5;5;4;5;4;3;4;4;2;4;3;3;3;5;4;4;5;5;4;3;4;3;4;5;5;5;5;5;5;5;3,5;4;5;3,75;3;4,1;5
361;6573;5;5;4;5;4;4;4;3;5;5;3;3;3;3;3;5;3;2;2;4;2;3;2;3;3;3;2;3;3;3;3;5;4;4;4;5;5;4;3;3;5;5;5;5;4;5;5;4,4;3;3,25;3;2,63;3;4,2;4,83
362;6574;5;5;3;4;5;4;3;4;4;3;3;3;2;3;4;3;2;2;4;3;3;2;2;2;2;2;2;2;2;4;2;5;4;5;4;5;5;3;3;3;5;4;5;5;4;5;5;4;2,75;2,75;3,5;2,13;2,67;4,2;4,67
363;6575;3;3;4;3;4;4;4;3;3;3;1;1;3;3;3;3;3;3;4;3;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;3,4;2;3;3,5;1;1;4;4
364;6576;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;2;2;3;4;4;4;4;4;4;4;4;3;3;4;4;5;5;4;5;4;3,5;3;3,5;3,13;2,33;3,8;4,5
365;6577;5;5;4;4;4;4;4;4;5;5;5;5;3;3;1;4;4;3;5;4;2;3;4;3;2;2;1;2;3;3;3;4;4;4;4;4;3;4;3;3;4;4;3;4;5;4;4;4,4;4;3;4,5;2,38;3;3,7;4
366;6578;5;5;4;4;5;5;5;5;5;5;4;3;4;5;5;4;4;4;5;5;4;5;4;3;4;3;4;5;3;3;5;4;4;4;4;5;5;4;5;5;5;4;5;5;5;5;5;4,8;4;4,25;5;4;3,67;4,5;4,83
367;6579;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;2;2;2;3;1;1;1;4;4;4;4;4;4;3;3;3;5;4;3;5;4;4;5;3,1;3;3,25;3;2,75;1;3,8;4,17
368;6600;3;3;3;3;3;3;3;3;3;5;2;2;3;4;3;3;3;3;5;4;1;5;1;1;3;1;1;1;1;1;1;5;5;5;5;5;4;3;4;5;5;4;4;5;5;5;5;3,2;2,75;3;4,5;1,75;1;4,6;4,67
369;6601;3;3;4;3;3;3;3;3;3;4;2;2;2;1;1;3;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;4;4;4;4;2;4;3;3;3;3;4;3;2;4;4;5;3,2;1,75;1,5;2;1,38;1;3,4;3,67
370;6602;4;4;4;4;3;3;2;3;3;3;3;2;3;2;3;3;3;2;4;2;1;3;3;3;1;1;3;2;3;3;2;4;4;1;4;1;4;1;2;3;3;4;1;4;4;5;4;3,3;2,5;2,75;3;2,13;2,67;2,7;3,67
371;6603;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;2;2;1;2;3;4;2;1;3;3;3;1,1;1;1,25;1;1;1;3;2,67
372;6604;3;3;3;3;3;3;3;3;3;4;1;1;2;1;2;3;4;1;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;3;1;2;4;4;3;2;4;4;5;3,1;1,25;2,5;2;1;1;3,3;3,67
373;6605;4;3;3;5;3;3;3;3;4;5;2;2;1;2;1;3;1;2;2;1;1;3;1;1;2;1;1;1;1;1;1;4;4;4;5;4;4;3;3;3;3;4;3;4;1;5;5;3,6;1,75;1,75;1,5;1,38;1;3,7;3,67
374;6606;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;4;1;3;3;1;2;2;3;2;1;1;1;4;4;3;4;4;3;2;2;3;4;4;3;4;3;3;5;3,3;3;2,5;3;2,13;1;3,3;3,67
375;6607;3;3;3;3;3;2;3;3;3;3;3;1;4;3;5;3;2;2;4;2;1;4;3;3;2;1;1;2;1;1;1;1;1;4;4;2;1;2;1;3;1;4;1;3;3;3;3;2,9;2,75;3;3;2,13;1;2;2,83
376;6608;1;1;3;2;1;3;1;1;3;2;1;1;2;2;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;1;4;4;4;4;1;4;3;1;3;3;4;2;2;3;4;4;1,8;1,5;1,25;2;1,13;1;3,1;3,17
377;6609;3;1;4;1;3;3;3;2;1;2;1;1;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;2;4;4;3;3;3;3;1;4;3;3;3;4;4;3;4;2,3;1,25;1,25;1;1,38;1;3;3,5
378;6610;4;4;3;4;5;4;4;4;4;4;2;1;2;3;4;3;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;4;3;3;3;4;4;4;4;4;4;4;2;3;3;1;1;3,6;4
379;6611;3;2;3;4;3;3;3;3;3;3;3;3;3;2;3;4;3;3;5;3;3;1;4;3;2;2;2;3;2;2;1;3;4;4;4;4;4;3;2;3;3;3;4;2;3;4;3;3;2,75;3,25;4;2,5;1,67;3,4;3,17
380;6612;1;1;1;1;1;1;1;2;1;3;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;3;3;3;4;4;4;3;3;3;3;3;2;3;3;3;3;1,3;1;1,5;2;1,38;1;3,3;2,83
381;6671;2;2;4;4;3;4;4;4;4;4;4;3;3;5;1;4;2;3;3;3;2;4;2;3;1;3;1;4;1;1;3;4;4;4;4;4;4;3;4;3;4;4;4;4;5;5;4;3,5;3,75;2,5;3;2,5;1,67;3,8;4,33
382;6672;3;3;5;4;4;3;4;5;3;5;2;2;3;5;4;4;4;2;4;3;1;2;2;2;3;2;1;3;3;2;4;3;3;3;5;3;5;3;5;2;3;5;3;4;4;3;3;3,9;3;3,5;3,5;2;3;3,5;3,67
383;6700;2;3;1;2;2;3;3;2;3;2;3;3;1;3;1;3;3;1;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;4;1;3;3;3;4;3;3;5;5;5;2,3;2,5;2;2,5;2;2;2,9;4,17
384;6701;2;1;1;1;2;2;1;1;1;3;2;1;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;3;3;3;4;2;2;1;4;4;1,5;1,5;1;2;1;1;3,6;2,83
385;6702;3;3;2;2;3;2;3;2;3;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;4;4;4;2;1;3;4;4;2;2;3;3;3;2,5;1;1,25;1,5;1;1;3,3;2,83
386;6703;3;3;3;3;4;4;3;2;4;3;1;3;1;2;2;4;1;1;3;3;3;3;3;3;2;3;2;4;1;3;1;4;4;4;4;4;4;3;3;4;4;4;3;4;5;5;5;3,2;1,75;2;3;2,88;1,67;3,8;4,33
387;6704;3;3;3;3;3;3;3;3;3;3;1;1;2;2;1;5;3;3;4;4;1;1;3;1;2;3;1;3;1;1;1;4;4;4;4;3;4;3;3;4;3;4;4;4;5;5;5;3;1,5;3;4;1,88;1;3,6;4,5
388;6705;3;2;3;1;2;2;2;3;3;3;1;2;2;2;2;2;3;2;2;1;2;2;2;1;2;1;1;1;1;1;1;4;4;4;4;3;4;2;3;3;3;4;2;4;3;3;4;2,4;1,75;2,25;1,5;1,5;1;3,4;3,33
389;6706;3;3;4;3;4;3;3;2;4;4;1;3;2;1;1;3;3;2;2;3;1;1;1;1;2;1;1;1;1;1;1;4;4;4;4;4;4;3;2;1;2;4;2;2;3;3;5;3,3;1,75;2,25;2,5;1,13;1;3,2;3,17
390;6707;1;1;1;2;2;1;1;2;2;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;3;3;3;4;4;1;4;5;4;4;1,5;1,5;1;1;1;1;3,6;3,67
391;6708;3;3;4;5;3;3;3;3;3;5;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;3;3;3;4;2;4;5;3;3;3,5;1,5;1;2;1;1;3,6;3,5
392;6709;3;2;3;1;1;1;1;1;3;3;1;1;2;1;1;2;3;1;2;3;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;3;3;4;4;1;2;4;5;5;1,9;1,25;1,75;2,5;1;1;3,7;3,5
393;6710;3;3;3;3;2;3;2;3;3;3;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;3;3;3;4;2;2;4;3;4;2,8;1,5;1,5;1;1;1;3,6;3,17
394;6711;4;3;3;3;3;5;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;3;2;2;2;2;2;2;1;1;1;4;4;4;4;4;4;4;3;3;3;4;2;4;4;3;3;3,3;2,25;3;3;2,13;1;3,7;3,33
395;6712;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;2;4;1;1;3;1;4;3;4;4;2;2;1,2;1;1;1;1;1;2,8;3,17
396;6713;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;1;2;3;1;2;4;1;3;4;3;2;3;1,3;1;1;1;1;1;2,9;2,67
397;6771;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;2;3;3;2;2;1;1;1;1;1;1;4;4;4;4;3;4;3;3;3;4;4;3;5;3;5;3;2,9;2,75;3;2,5;1,88;1;3,6;3,83
398;6800;3;3;3;3;3;3;2;3;1;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;5;5;5;3;3;3;5;5;2;2;5;5;3;2,6;1,5;2;1;1;1;4,1;3,67
399;6801;3;3;4;3;3;3;3;3;3;2;2;2;1;2;2;3;3;3;3;1;1;2;2;1;2;1;1;2;1;1;1;5;5;4;5;3;4;3;3;2;4;5;3;4;5;3;2;3;1,75;2,75;2;1,5;1;3,8;3,67
400;6802;3;3;3;3;3;3;4;3;3;3;2;2;2;3;4;3;3;2;3;4;1;1;1;1;2;2;1;1;2;2;3;4;4;4;5;4;4;4;3;3;3;4;3;4;5;4;4;3,1;2,25;3;3,5;1,25;2,33;3,8;4
401;6803;4;4;4;1;4;4;4;4;4;4;3;3;1;3;4;2;2;3;2;1;2;1;2;2;2;1;1;2;1;1;1;4;4;4;4;4;4;3;3;4;4;4;2;4;4;5;5;3,7;2,5;2,75;1,5;1,63;1;3,8;4
402;6804;3;3;3;3;5;3;3;5;5;3;3;3;1;2;5;5;4;5;2;3;1;2;2;3;2;3;3;3;1;1;1;5;4;4;1;4;5;3;5;4;4;4;4;5;4;5;5;3,6;2,25;4,75;2,5;2,38;1;3,9;4,5
403;6805;1;1;3;3;3;3;3;1;1;3;1;1;2;1;1;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;4;4;4;5;4;5;3;1;4;4;4;4;4;4;4;4;2,2;1,25;2,5;2;1;1;3,8;4
404;6806;2;2;2;3;3;3;3;2;3;3;1;1;2;2;1;1;3;1;2;3;1;1;1;1;2;1;1;1;1;1;1;4;4;4;4;4;4;3;2;3;4;4;4;2;4;4;4;2,6;1,5;1,5;2,5;1,13;1;3,6;3,67
405;6807;3;3;4;3;3;3;3;3;3;3;3;3;2;3;2;3;4;3;2;3;3;1;2;2;3;3;1;2;2;3;2;4;4;3;4;3;4;3;3;3;4;4;3;4;5;5;5;3,1;2,75;3;2,5;2,13;2,33;3,5;4,33
406;6808;2;2;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;2;3;3;4;2;2;3;3;3;2,8;1;1;1,5;1;1;3,5;2,83
407;6809;2;2;1;1;2;2;1;2;1;3;1;1;1;1;1;2;2;2;2;3;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;2;3;2;2;3;4;2;2;4;3;2;1,7;1;1,75;2,5;1;1;3,2;2,83
408;6810;3;3;3;3;5;3;3;3;3;5;2;3;3;2;3;3;3;2;4;1;2;2;3;3;2;2;2;3;2;2;2;4;4;4;4;3;4;3;4;3;4;4;3;4;5;4;3;3,4;2,5;2,75;2,5;2,38;2;3,7;3,83
409;6811;3;3;3;3;3;3;3;3;3;3;2;2;3;3;1;1;3;1;2;1;2;2;2;3;2;2;1;2;1;1;1;4;4;3;4;3;3;3;1;3;4;4;3;4;3;4;4;3;2,5;1,5;1,5;2;1;3,2;3,67
410;6871;5;5;5;5;5;5;5;5;5;5;3;3;3;3;4;4;4;4;5;4;2;2;2;2;3;2;2;2;2;2;2;5;5;5;5;4;5;3;3;5;5;5;3;5;5;5;5;5;3;4;4,5;2,13;2;4,5;4,67
411;6872;2;2;3;3;3;3;3;2;3;3;3;3;1;2;1;3;3;2;1;3;2;2;2;1;2;1;1;2;1;1;1;4;4;4;4;4;4;3;1;3;3;4;2;4;4;3;3;2,7;2,25;2,25;2;1,63;1;3,4;3,33
412;6900;3;3;4;3;3;3;3;2;3;3;1;3;1;2;1;3;3;2;2;1;1;2;1;1;2;3;1;1;1;3;2;4;4;4;4;3;4;3;3;3;3;4;4;4;5;5;5;3;1,75;2,25;1,5;1,5;2;3,5;4,5
413;6901;4;4;4;4;4;2;2;3;4;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;3;2;3;3;4;4;4;3;3;4;3,3;1;1,75;1,5;1;1;3,4;3,67
414;6902;3;3;3;3;3;3;3;2;3;4;2;3;1;3;3;3;3;3;2;3;3;2;2;2;2;2;3;3;1;1;1;4;4;4;4;3;4;3;2;3;4;4;2;4;3;3;3;3;2,25;3;2,5;2,38;1;3,5;3,17
415;6904;3;2;3;2;3;3;3;3;3;3;2;3;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;3;1;1;2;1;3;1;4;2;3;1;1;1;2,8;2,25;1,75;1,5;1;1;2,4;2
416;6907;1;2;2;1;2;2;2;2;1;3;1;1;3;1;1;2;2;2;3;1;1;2;2;3;1;1;1;3;1;1;1;4;4;4;4;4;4;3;3;2;4;4;3;3;4;3;3;1,8;1,5;1,75;2;1,75;1;3,6;3,33
417;6908;3;3;4;3;3;3;3;3;3;3;3;3;2;1;1;3;3;2;2;3;3;3;3;3;2;2;3;3;3;2;1;4;4;3;4;4;4;3;3;3;4;4;4;4;5;5;5;3,1;2,25;2,25;2,5;2,75;2;3,6;4,5
418;6910;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;1;2;1;1;1;2;2;3;3;2;1;1;1;1;1;1;4;4;4;4;4;3;2;3;3;3;4;3;4;5;5;5;3;2,75;1,5;1;1,88;1;3,4;4,33
419;6912;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1,3;1,17
420;6971;3;3;5;3;3;3;3;2;3;3;1;1;2;1;5;3;4;5;4;3;1;1;1;1;2;1;1;1;1;1;1;4;4;4;4;4;4;2;3;3;4;4;5;4;5;5;5;3,1;1,25;4,25;3,5;1,13;1;3,6;4,67
421;6972;4;4;5;5;4;4;5;5;5;5;5;3;4;3;4;3;4;4;3;4;2;2;2;2;3;3;2;3;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;3;4,6;3,75;3,75;3,5;2,38;2;4;4,17
422;6973;3;3;3;2;3;3;3;3;3;3;2;2;1;2;2;3;3;1;2;2;2;1;1;1;1;1;1;2;2;2;2;4;4;4;4;4;4;3;3;3;3;4;4;4;5;3;4;2,9;1,75;2,25;2;1,25;2;3,6;4
423;7000;2;3;4;2;3;3;3;3;3;3;1;1;2;1;1;2;3;1;2;3;1;2;3;2;1;1;1;1;2;1;2;4;4;4;1;3;4;2;4;1;3;4;1;2;2;4;1;2,9;1,25;1,75;2,5;1,5;1,67;3;2,33
424;7001;2;2;2;2;2;3;2;3;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;2;1;3;1;1;2;4;1;2;3;1;1;2,1;1;1,25;1,5;1;1;2,6;2
425;7002;2;2;5;5;4;4;4;4;2;4;3;3;3;4;3;3;3;3;4;3;4;4;3;3;3;2;3;3;1;1;3;4;4;4;4;4;4;4;2;2;4;4;4;4;5;5;5;3,6;3,25;3;3,5;3,13;1,67;3,6;4,5
426;7003;3;3;3;3;3;3;3;3;3;5;1;1;1;2;1;2;2;1;3;3;2;1;1;2;1;1;1;1;1;1;1;4;4;3;4;3;2;1;3;3;1;2;1;3;3;4;3;3,2;1,25;1,5;3;1,25;1;2,8;2,67
427;7004;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;4;1;4;4;4;4;3;4;3;3;4;1;3;4;4;3;1,1;1,25;1,75;1,5;1;1;3,4;3,17
428;7005;3;3;3;3;3;3;2;2;3;3;1;2;1;1;1;2;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;3;3;4;2;1;1;1;4;2;2;3;3;3;2,8;1,25;1,75;2;1;1;2,7;2,83
429;7006;3;3;3;3;3;3;3;3;3;3;3;3;1;2;2;2;2;1;4;4;2;2;2;2;2;1;1;1;1;3;3;4;4;4;4;4;3;3;2;3;2;3;4;2;1;3;3;3;2,25;1,75;4;1,63;2,33;3,3;2,67
430;7007;2;2;3;2;3;3;1;2;1;2;2;2;2;1;1;1;3;1;1;1;1;1;1;2;2;1;1;2;1;1;1;4;4;4;4;4;1;4;1;3;4;1;3;2;4;1;3;2,1;1,75;1,5;1;1,38;1;3,3;2,33
431;7008;2;2;3;1;1;3;2;3;3;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;3;2;3;1;4;1;2;3;5;2;2,3;1;1,5;1;1;1;3,2;2,83
