R90,R250,R1000,R2000,R3000,R4000
0,0,0,0,0,0
5.79,1.83,0.45,0.23,0.15,0.11
10.02,3.24,0.8,0.4,0.27,0.2
12.92,4.25,1.05,0.53,0.35,0.26
14.61,4.85,1.2,0.6,0.4,0.3
15.17,5.05,1.25,0.63,0.42,0.31
14.61,4.85,1.2,0.6,0.4,0.3
12.92,4.25,1.05,0.53,0.35,0.26
10.02,3.24,0.8,0.4,0.27,0.2
5.79,1.83,0.45,0.23,0.15,0.11
0,0,0,0,0,0
