R90,R250,R1000,R2000,R3000,R4000
-13.556,-4.37,-1.099,-0.488,-0.335,-0.255
-13.677,-4.373,-1.093,-0.516,-0.322,-0.243
-13.669,-4.356,-1.073,-0.501,-0.35,-0.248
-13.708,-4.429,-1.092,-0.488,-0.342,-0.267
-13.678,-4.447,-1.116,-0.507,-0.342,-0.259
-13.8,-4.498,-1.111,-0.497,-0.326,-0.263
-13.908,-4.534,-1.121,-0.508,-0.326,-0.248
-13.936,-4.468,-1.123,-0.508,-0.345,-0.266
-14.007,-4.543,-1.124,-0.503,-0.345,-0.254
-13.976,-4.558,-1.128,-0.536,-0.335,-0.262
-14.013,-4.572,-1.132,-0.511,-0.339,-0.27
-14.069,-4.597,-1.121,-0.51,-0.343,-0.269
-14.139,-4.598,-1.142,-0.514,-0.356,-0.256
-14.194,-4.619,-1.124,-0.505,-0.341,-0.266
-14.259,-4.634,-1.127,-0.533,-0.358,-0.277
-14.223,-4.616,-1.135,-0.514,-0.35,-0.253
-14.356,-4.66,-1.139,-0.522,-0.348,-0.259
-14.381,-4.672,-1.117,-0.503,-0.349,-0.261
-14.361,-4.69,-1.142,-0.534,-0.327,-0.28
-14.46,-4.737,-1.139,-0.54,-0.358,-0.275
-14.502,-4.74,-1.152,-0.543,-0.365,-0.275
-14.472,-4.731,-1.153,-0.539,-0.346,-0.276
-14.477,-4.765,-1.153,-0.521,-0.357,-0.261
-14.547,-4.74,-1.165,-0.541,-0.366,-0.271
-14.595,-4.759,-1.17,-0.53,-0.338,-0.276
-14.62,-4.79,-1.177,-0.538,-0.359,-0.249
-14.65,-4.819,-1.162,-0.536,-0.341,-0.258
-14.66,-4.822,-1.185,-0.554,-0.349,-0.229
-14.715,-4.828,-1.163,-0.545,-0.339,-0.278
-14.682,-4.856,-1.153,-0.543,-0.34,-0.259
-14.748,-4.834,-1.177,-0.549,-0.354,-0.256
-14.763,-4.855,-1.172,-0.556,-0.345,-0.256
-14.793,-4.852,-1.158,-0.564,-0.362,-0.269
-14.773,-4.861,-1.174,-0.551,-0.363,-0.264
-14.836,-4.857,-1.165,-0.555,-0.363,-0.276
-14.849,-4.898,-1.168,-0.548,-0.355,-0.263
-14.833,-4.895,-1.165,-0.56,-0.349,-0.25
-14.882,-4.918,-1.198,-0.558,-0.351,-0.249
-14.863,-4.888,-1.158,-0.555,-0.354,-0.265
-14.901,-4.922,-1.157,-0.549,-0.363,-0.281
-14.917,-4.922,-1.188,-0.565,-0.363,-0.267
-14.905,-4.918,-1.174,-0.556,-0.353,-0.266
-14.926,-4.903,-1.181,-0.567,-0.36,-0.271
-14.956,-4.917,-1.175,-0.563,-0.366,-0.251
-14.854,-4.93,-1.199,-0.556,-0.344,-0.26
-14.943,-4.935,-1.182,-0.565,-0.356,-0.26
-14.944,-4.953,-1.182,-0.554,-0.343,-0.264
-14.927,-4.942,-1.171,-0.57,-0.356,-0.254
-14.949,-4.94,-1.192,-0.56,-0.34,-0.239
-14.941,-4.94,-1.176,-0.566,-0.334,-0.257
-14.94,-4.943,-1.189,-0.564,-0.325,-0.261
-14.944,-4.931,-1.186,-0.581,-0.341,-0.252
-14.94,-4.935,-1.186,-0.56,-0.34,-0.239
-14.916,-4.942,-1.183,-0.551,-0.338,-0.263
-14.945,-4.93,-1.19,-0.562,-0.355,-0.258
