R90,R250,R1000,R2000,R3000,R4000
-6.133,-1.576,-0.377,-0.17,-0.093,-0.13
-6.245,-1.637,-0.393,-0.172,-0.105,-0.115
-6.369,-1.682,-0.393,-0.169,-0.116,-0.118
-6.56,-1.708,-0.413,-0.173,-0.114,-0.142
-6.681,-1.763,-0.427,-0.169,-0.12,-0.132
-6.861,-1.817,-0.44,-0.194,-0.145,-0.128
-7.018,-1.888,-0.463,-0.184,-0.121,-0.152
-7.142,-1.92,-0.455,-0.213,-0.145,-0.144
-7.33,-1.976,-0.476,-0.202,-0.134,-0.146
-7.439,-2.005,-0.475,-0.21,-0.133,-0.141
-7.613,-2.132,-0.491,-0.22,-0.143,-0.139
-7.713,-2.124,-0.527,-0.213,-0.155,-0.152
-7.903,-2.203,-0.519,-0.243,-0.16,-0.163
-7.957,-2.243,-0.542,-0.226,-0.157,-0.152
-8.062,-2.278,-0.536,-0.229,-0.164,-0.14
-8.299,-2.337,-0.568,-0.263,-0.17,-0.151
-8.421,-2.371,-0.578,-0.23,-0.171,-0.139
-8.546,-2.467,-0.587,-0.26,-0.176,-0.154
-8.677,-2.474,-0.598,-0.275,-0.186,-0.165
-8.825,-2.504,-0.597,-0.287,-0.202,-0.155
-8.922,-2.589,-0.628,-0.281,-0.184,-0.144
-9.082,-2.603,-0.628,-0.295,-0.165,-0.163
-9.159,-2.657,-0.639,-0.275,-0.186,-0.156
-9.247,-2.715,-0.653,-0.286,-0.195,-0.157
-9.429,-2.773,-0.651,-0.281,-0.206,-0.166
-9.528,-2.808,-0.672,-0.301,-0.212,-0.167
-9.651,-2.844,-0.68,-0.305,-0.207,-0.165
-9.809,-2.856,-0.707,-0.298,-0.188,-0.163
-9.879,-2.921,-0.712,-0.321,-0.228,-0.187
-9.933,-2.937,-0.725,-0.322,-0.204,-0.192
-10.2,-2.989,-0.721,-0.352,-0.224,-0.172
-10.139,-3.063,-0.732,-0.34,-0.226,-0.177
-10.283,-3.099,-0.746,-0.329,-0.228,-0.199
-10.49,-3.117,-0.76,-0.339,-0.211,-0.184
-10.485,-3.187,-0.768,-0.345,-0.223,-0.185
-10.507,-3.244,-0.765,-0.35,-0.247,-0.183
-10.773,-3.263,-0.795,-0.345,-0.243,-0.188
-10.809,-3.29,-0.786,-0.349,-0.25,-0.183
-10.902,-3.336,-0.809,-0.346,-0.255,-0.185
-11.034,-3.345,-0.79,-0.372,-0.232,-0.222
-11.063,-3.408,-0.819,-0.377,-0.249,-0.189
-11.178,-3.41,-0.828,-0.363,-0.269,-0.201
-11.311,-3.527,-0.849,-0.39,-0.246,-0.197
-11.419,-3.504,-0.848,-0.388,-0.206,-0.207
-11.537,-3.539,-0.877,-0.393,-0.261,-0.21
-11.686,-3.554,-0.865,-0.392,-0.253,-0.198
-11.663,-3.642,-0.869,-0.403,-0.262,-0.206
-11.766,-3.665,-0.881,-0.41,-0.273,-0.199
-11.92,-3.651,-0.905,-0.405,-0.259,-0.216
-12.073,-3.745,-0.889,-0.408,-0.255,-0.238
-12.001,-3.771,-0.907,-0.413,-0.265,-0.213
-12.156,-3.791,-0.918,-0.423,-0.269,-0.201
-12.152,-3.812,-0.902,-0.429,-0.285,-0.209
-12.181,-3.85,-0.932,-0.427,-0.289,-0.236
-12.419,-3.892,-0.927,-0.421,-0.287,-0.219
-12.491,-3.921,-0.929,-0.434,-0.29,-0.229
-12.44,-3.965,-0.933,-0.447,-0.28,-0.254
-12.594,-3.974,-0.966,-0.452,-0.3,-0.186
-12.662,-3.989,-0.971,-0.444,-0.281,-0.23
-12.776,-4.031,-0.976,-0.435,-0.29,-0.246
-12.806,-4.062,-0.959,-0.446,-0.287,-0.251
-12.867,-4.118,-0.988,-0.465,-0.279,-0.265
